ID,Payoff
5bd0d9bf25db7b0001786a5b,0.0
64d53f3f9885e325d957590d,0.0
5f9c755c87a954121022de9e,0.0
614f64af286f5a5cc8fa849d,0.0
5c3282eb47817b0001581512,0.0
5ca999aacf827100165119f4,0.0
60fdde0a68c4749b14067099,0.0
5e98ae20be425f0e61330c39,0.0
65047b2a7db823fd627efad7,0.0
5dc36b196c76b327ca120b23,0.0
5cacd539c8e337001dbf3bd1,0.0
63fad8b20e532757a496f7f5,0.0
60fe47b274576eb477b06e6d,0.0
5e7e94f6279cb0000a027185,0.0
6014213c77aab7396ca3e5a7,0.0
5ab983a39534ba0001c6c342,0.0
5e84c817507cd3066a527e5e,0.0
5e3b759740e302397f294a2d,0.0
5cc0b9bccedf2000012afc45,0.0
5f9b597effdbc2383f50e42f,0.0
60ff83da6b1bee23abb427a4,0.0
54af2a48fdf99b09c01b3801,0.0
6519add4907624469d5f1635,0.0
59c9cda80aaf750001213e00,0.0
61575bacd55c569c0dee872f,0.0
655780dccd5e0509a5df230f,0.0
6564e143b65aad826f6cdf7a,0.0
63bda53b525aeabb92ddd6ec,0.0
5cfc4af8a224000001675ec8,0.0
6562a8836e59ef440f007229,0.0
63f7e098e99a7db2d59ac6ce,0.0
5c3fe471d5af20000171dcbc,0.0
